PLL Rx Low Band:
Fch=884.00 (Fvco=3536.00, Nint=068, Nfrac=000)
Fch=884.10 (Fvco=3536.40, Nint=068, Nfrac=001)
Fch=884.20 (Fvco=3536.80, Nint=068, Nfrac=002)
Fch=884.30 (Fvco=3537.20, Nint=068, Nfrac=003)
Fch=884.40 (Fvco=3537.60, Nint=068, Nfrac=004)
Fch=884.50 (Fvco=3538.00, Nint=068, Nfrac=005)
Fch=884.60 (Fvco=3538.40, Nint=068, Nfrac=006)
Fch=884.70 (Fvco=3538.80, Nint=068, Nfrac=007)
Fch=884.80 (Fvco=3539.20, Nint=068, Nfrac=008)
Fch=884.90 (Fvco=3539.60, Nint=068, Nfrac=009)
Fch=885.00 (Fvco=3540.00, Nint=068, Nfrac=010)
Fch=885.10 (Fvco=3540.40, Nint=068, Nfrac=011)
Fch=885.20 (Fvco=3540.80, Nint=068, Nfrac=012)
Fch=885.30 (Fvco=3541.20, Nint=068, Nfrac=013)
Fch=885.40 (Fvco=3541.60, Nint=068, Nfrac=014)
Fch=885.50 (Fvco=3542.00, Nint=068, Nfrac=015)
Fch=885.60 (Fvco=3542.40, Nint=068, Nfrac=016)
Fch=885.70 (Fvco=3542.80, Nint=068, Nfrac=017)
Fch=885.80 (Fvco=3543.20, Nint=068, Nfrac=018)
Fch=885.90 (Fvco=3543.60, Nint=068, Nfrac=019)
Fch=886.00 (Fvco=3544.00, Nint=068, Nfrac=020)
Fch=886.10 (Fvco=3544.40, Nint=068, Nfrac=021)
Fch=886.20 (Fvco=3544.80, Nint=068, Nfrac=022)
Fch=886.30 (Fvco=3545.20, Nint=068, Nfrac=023)
Fch=886.40 (Fvco=3545.60, Nint=068, Nfrac=024)
Fch=886.50 (Fvco=3546.00, Nint=068, Nfrac=025)
Fch=886.60 (Fvco=3546.40, Nint=068, Nfrac=026)
Fch=886.70 (Fvco=3546.80, Nint=068, Nfrac=027)
Fch=886.80 (Fvco=3547.20, Nint=068, Nfrac=028)
Fch=886.90 (Fvco=3547.60, Nint=068, Nfrac=029)
Fch=887.00 (Fvco=3548.00, Nint=068, Nfrac=030)
Fch=887.10 (Fvco=3548.40, Nint=068, Nfrac=031)
Fch=887.20 (Fvco=3548.80, Nint=068, Nfrac=032)
Fch=887.30 (Fvco=3549.20, Nint=068, Nfrac=033)
Fch=887.40 (Fvco=3549.60, Nint=068, Nfrac=034)
Fch=887.50 (Fvco=3550.00, Nint=068, Nfrac=035)
Fch=887.60 (Fvco=3550.40, Nint=068, Nfrac=036)
Fch=887.70 (Fvco=3550.80, Nint=068, Nfrac=037)
Fch=887.80 (Fvco=3551.20, Nint=068, Nfrac=038)
Fch=887.90 (Fvco=3551.60, Nint=068, Nfrac=039)
Fch=888.00 (Fvco=3552.00, Nint=068, Nfrac=040)
Fch=888.10 (Fvco=3552.40, Nint=068, Nfrac=041)
Fch=888.20 (Fvco=3552.80, Nint=068, Nfrac=042)
Fch=888.30 (Fvco=3553.20, Nint=068, Nfrac=043)
Fch=888.40 (Fvco=3553.60, Nint=068, Nfrac=044)
Fch=888.50 (Fvco=3554.00, Nint=068, Nfrac=045)
Fch=888.60 (Fvco=3554.40, Nint=068, Nfrac=046)
Fch=888.70 (Fvco=3554.80, Nint=068, Nfrac=047)
Fch=888.80 (Fvco=3555.20, Nint=068, Nfrac=048)
Fch=888.90 (Fvco=3555.60, Nint=068, Nfrac=049)
Fch=889.00 (Fvco=3556.00, Nint=068, Nfrac=050)
Fch=889.10 (Fvco=3556.40, Nint=068, Nfrac=051)
Fch=889.20 (Fvco=3556.80, Nint=068, Nfrac=052)
Fch=889.30 (Fvco=3557.20, Nint=068, Nfrac=053)
Fch=889.40 (Fvco=3557.60, Nint=068, Nfrac=054)
Fch=889.50 (Fvco=3558.00, Nint=068, Nfrac=055)
Fch=889.60 (Fvco=3558.40, Nint=068, Nfrac=056)
Fch=889.70 (Fvco=3558.80, Nint=068, Nfrac=057)
Fch=889.80 (Fvco=3559.20, Nint=068, Nfrac=058)
Fch=889.90 (Fvco=3559.60, Nint=068, Nfrac=059)
Fch=890.00 (Fvco=3560.00, Nint=068, Nfrac=060)
Fch=890.10 (Fvco=3560.40, Nint=068, Nfrac=061)
Fch=890.20 (Fvco=3560.80, Nint=068, Nfrac=062)
Fch=890.30 (Fvco=3561.20, Nint=068, Nfrac=063)
Fch=890.40 (Fvco=3561.60, Nint=068, Nfrac=064)
Fch=890.50 (Fvco=3562.00, Nint=068, Nfrac=065)
Fch=890.60 (Fvco=3562.40, Nint=068, Nfrac=066)
Fch=890.70 (Fvco=3562.80, Nint=068, Nfrac=067)
Fch=890.80 (Fvco=3563.20, Nint=068, Nfrac=068)
Fch=890.90 (Fvco=3563.60, Nint=068, Nfrac=069)
Fch=891.00 (Fvco=3564.00, Nint=068, Nfrac=070)
Fch=891.10 (Fvco=3564.40, Nint=068, Nfrac=071)
Fch=891.20 (Fvco=3564.80, Nint=068, Nfrac=072)
Fch=891.30 (Fvco=3565.20, Nint=068, Nfrac=073)
Fch=891.40 (Fvco=3565.60, Nint=068, Nfrac=074)
Fch=891.50 (Fvco=3566.00, Nint=068, Nfrac=075)
Fch=891.60 (Fvco=3566.40, Nint=068, Nfrac=076)
Fch=891.70 (Fvco=3566.80, Nint=068, Nfrac=077)
Fch=891.80 (Fvco=3567.20, Nint=068, Nfrac=078)
Fch=891.90 (Fvco=3567.60, Nint=068, Nfrac=079)
Fch=892.00 (Fvco=3568.00, Nint=068, Nfrac=080)
Fch=892.10 (Fvco=3568.40, Nint=068, Nfrac=081)
Fch=892.20 (Fvco=3568.80, Nint=068, Nfrac=082)
Fch=892.30 (Fvco=3569.20, Nint=068, Nfrac=083)
Fch=892.40 (Fvco=3569.60, Nint=068, Nfrac=084)
Fch=892.50 (Fvco=3570.00, Nint=068, Nfrac=085)
Fch=892.60 (Fvco=3570.40, Nint=068, Nfrac=086)
Fch=892.70 (Fvco=3570.80, Nint=068, Nfrac=087)
Fch=892.80 (Fvco=3571.20, Nint=068, Nfrac=088)
Fch=892.90 (Fvco=3571.60, Nint=068, Nfrac=089)
Fch=893.00 (Fvco=3572.00, Nint=068, Nfrac=090)
Fch=893.10 (Fvco=3572.40, Nint=068, Nfrac=091)
Fch=893.20 (Fvco=3572.80, Nint=068, Nfrac=092)
Fch=893.30 (Fvco=3573.20, Nint=068, Nfrac=093)
Fch=893.40 (Fvco=3573.60, Nint=068, Nfrac=094)
Fch=893.50 (Fvco=3574.00, Nint=068, Nfrac=095)
Fch=893.60 (Fvco=3574.40, Nint=068, Nfrac=096)
Fch=893.70 (Fvco=3574.80, Nint=068, Nfrac=097)
Fch=893.80 (Fvco=3575.20, Nint=068, Nfrac=098)
Fch=893.90 (Fvco=3575.60, Nint=068, Nfrac=099)
Fch=894.00 (Fvco=3576.00, Nint=068, Nfrac=100)
Fch=894.10 (Fvco=3576.40, Nint=068, Nfrac=101)
Fch=894.20 (Fvco=3576.80, Nint=068, Nfrac=102)
Fch=894.30 (Fvco=3577.20, Nint=068, Nfrac=103)
Fch=894.40 (Fvco=3577.60, Nint=068, Nfrac=104)
Fch=894.50 (Fvco=3578.00, Nint=068, Nfrac=105)
Fch=894.60 (Fvco=3578.40, Nint=068, Nfrac=106)
Fch=894.70 (Fvco=3578.80, Nint=068, Nfrac=107)
Fch=894.80 (Fvco=3579.20, Nint=068, Nfrac=108)
Fch=894.90 (Fvco=3579.60, Nint=068, Nfrac=109)
Fch=895.00 (Fvco=3580.00, Nint=068, Nfrac=110)
Fch=895.10 (Fvco=3580.40, Nint=068, Nfrac=111)
Fch=895.20 (Fvco=3580.80, Nint=068, Nfrac=112)
Fch=895.30 (Fvco=3581.20, Nint=068, Nfrac=113)
Fch=895.40 (Fvco=3581.60, Nint=068, Nfrac=114)
Fch=895.50 (Fvco=3582.00, Nint=068, Nfrac=115)
Fch=895.60 (Fvco=3582.40, Nint=068, Nfrac=116)
Fch=895.70 (Fvco=3582.80, Nint=068, Nfrac=117)
Fch=895.80 (Fvco=3583.20, Nint=068, Nfrac=118)
Fch=895.90 (Fvco=3583.60, Nint=068, Nfrac=119)
Fch=896.00 (Fvco=3584.00, Nint=068, Nfrac=120)
Fch=896.10 (Fvco=3584.40, Nint=068, Nfrac=121)
Fch=896.20 (Fvco=3584.80, Nint=068, Nfrac=122)
Fch=896.30 (Fvco=3585.20, Nint=068, Nfrac=123)
Fch=896.40 (Fvco=3585.60, Nint=068, Nfrac=124)
Fch=896.50 (Fvco=3586.00, Nint=068, Nfrac=125)
Fch=896.60 (Fvco=3586.40, Nint=068, Nfrac=126)
Fch=896.70 (Fvco=3586.80, Nint=068, Nfrac=127)
Fch=896.80 (Fvco=3587.20, Nint=068, Nfrac=128)
Fch=896.90 (Fvco=3587.60, Nint=068, Nfrac=129)
Fch=897.00 (Fvco=3588.00, Nint=068, Nfrac=130)
Fch=897.00 (Fvco=3588.00, Nint=069, Nfrac=000)
Fch=897.10 (Fvco=3588.40, Nint=069, Nfrac=001)
Fch=897.20 (Fvco=3588.80, Nint=069, Nfrac=002)
Fch=897.30 (Fvco=3589.20, Nint=069, Nfrac=003)
Fch=897.40 (Fvco=3589.60, Nint=069, Nfrac=004)
