PLL Rx Low Band:
Fout=864.00 (A=000, B=135)
Fout=864.10 (A=001, B=135)
Fout=864.20 (A=002, B=135)
Fout=864.30 (A=003, B=135)
Fout=864.40 (A=004, B=135)
Fout=864.50 (A=005, B=135)
Fout=864.60 (A=006, B=135)
Fout=864.70 (A=007, B=135)
Fout=864.80 (A=008, B=135)
Fout=864.90 (A=009, B=135)
Fout=865.00 (A=010, B=135)
Fout=865.10 (A=011, B=135)
Fout=865.20 (A=012, B=135)
Fout=865.30 (A=013, B=135)
Fout=865.40 (A=014, B=135)
Fout=865.50 (A=015, B=135)
Fout=865.60 (A=016, B=135)
Fout=865.70 (A=017, B=135)
Fout=865.80 (A=018, B=135)
Fout=865.90 (A=019, B=135)
Fout=866.00 (A=020, B=135)
Fout=866.10 (A=021, B=135)
Fout=866.20 (A=022, B=135)
Fout=866.30 (A=023, B=135)
Fout=866.40 (A=024, B=135)
Fout=866.50 (A=025, B=135)
Fout=866.60 (A=026, B=135)
Fout=866.70 (A=027, B=135)
Fout=866.80 (A=028, B=135)
Fout=866.90 (A=029, B=135)
Fout=867.00 (A=030, B=135)
Fout=867.10 (A=031, B=135)
Fout=867.20 (A=032, B=135)
Fout=867.30 (A=033, B=135)
Fout=867.40 (A=034, B=135)
Fout=867.50 (A=035, B=135)
Fout=867.60 (A=036, B=135)
Fout=867.70 (A=037, B=135)
Fout=867.80 (A=038, B=135)
Fout=867.90 (A=039, B=135)
Fout=868.00 (A=040, B=135)
Fout=868.10 (A=041, B=135)
Fout=868.20 (A=042, B=135)
Fout=868.30 (A=043, B=135)
Fout=868.40 (A=044, B=135)
Fout=868.50 (A=045, B=135)
Fout=868.60 (A=046, B=135)
Fout=868.70 (A=047, B=135)
Fout=868.80 (A=048, B=135)
Fout=868.90 (A=049, B=135)
Fout=869.00 (A=050, B=135)
Fout=869.10 (A=051, B=135)
Fout=869.20 (A=052, B=135)
Fout=869.30 (A=053, B=135)
Fout=869.40 (A=054, B=135)
Fout=869.50 (A=055, B=135)
Fout=869.60 (A=056, B=135)
Fout=869.70 (A=057, B=135)
Fout=869.80 (A=058, B=135)
Fout=869.90 (A=059, B=135)
Fout=870.00 (A=060, B=135)
Fout=870.10 (A=061, B=135)
Fout=870.20 (A=062, B=135)
Fout=870.40 (A=000, B=136)
Fout=870.50 (A=001, B=136)
Fout=870.60 (A=002, B=136)
Fout=870.70 (A=003, B=136)
Fout=870.80 (A=004, B=136)
Fout=870.90 (A=005, B=136)
Fout=871.00 (A=006, B=136)
Fout=871.10 (A=007, B=136)
Fout=871.20 (A=008, B=136)
Fout=871.30 (A=009, B=136)
Fout=871.40 (A=010, B=136)
Fout=871.50 (A=011, B=136)
Fout=871.60 (A=012, B=136)
Fout=871.70 (A=013, B=136)
Fout=871.80 (A=014, B=136)
Fout=871.90 (A=015, B=136)
Fout=872.00 (A=016, B=136)
Fout=872.10 (A=017, B=136)
Fout=872.20 (A=018, B=136)
Fout=872.30 (A=019, B=136)
Fout=872.40 (A=020, B=136)
Fout=872.50 (A=021, B=136)
Fout=872.60 (A=022, B=136)
Fout=872.70 (A=023, B=136)
Fout=872.80 (A=024, B=136)
Fout=872.90 (A=025, B=136)
Fout=873.00 (A=026, B=136)
Fout=873.10 (A=027, B=136)
Fout=873.20 (A=028, B=136)
Fout=873.30 (A=029, B=136)
Fout=873.40 (A=030, B=136)
Fout=873.50 (A=031, B=136)
Fout=873.60 (A=032, B=136)
Fout=873.70 (A=033, B=136)
Fout=873.80 (A=034, B=136)
Fout=873.90 (A=035, B=136)
Fout=874.00 (A=036, B=136)
Fout=874.10 (A=037, B=136)
Fout=874.20 (A=038, B=136)
Fout=874.30 (A=039, B=136)
Fout=874.40 (A=040, B=136)
Fout=874.50 (A=041, B=136)
Fout=874.60 (A=042, B=136)
Fout=874.70 (A=043, B=136)
Fout=874.80 (A=044, B=136)
Fout=874.90 (A=045, B=136)
Fout=875.00 (A=046, B=136)
Fout=875.10 (A=047, B=136)
Fout=875.20 (A=048, B=136)
Fout=875.30 (A=049, B=136)
Fout=875.40 (A=050, B=136)
Fout=875.50 (A=051, B=136)
Fout=875.60 (A=052, B=136)
Fout=875.70 (A=053, B=136)
Fout=875.80 (A=054, B=136)
Fout=875.90 (A=055, B=136)
Fout=876.00 (A=056, B=136)
Fout=876.10 (A=057, B=136)
Fout=876.20 (A=058, B=136)
Fout=876.30 (A=059, B=136)
Fout=876.40 (A=060, B=136)
Fout=876.50 (A=061, B=136)
Fout=876.60 (A=062, B=136)
Fout=876.80 (A=000, B=137)
Fout=876.90 (A=001, B=137)
Fout=877.00 (A=002, B=137)
Fout=877.10 (A=003, B=137)
Fout=877.20 (A=004, B=137)
Fout=877.30 (A=005, B=137)
Fout=877.40 (A=006, B=137)
Fout=877.50 (A=007, B=137)
Fout=877.60 (A=008, B=137)
Fout=877.70 (A=009, B=137)
Fout=877.80 (A=010, B=137)
Fout=877.90 (A=011, B=137)
Fout=878.00 (A=012, B=137)
Fout=878.10 (A=013, B=137)
Fout=878.20 (A=014, B=137)
Fout=878.30 (A=015, B=137)
Fout=878.40 (A=016, B=137)
Fout=878.50 (A=017, B=137)
Fout=878.60 (A=018, B=137)
Fout=878.70 (A=019, B=137)
Fout=878.80 (A=020, B=137)
Fout=878.90 (A=021, B=137)
Fout=879.00 (A=022, B=137)
Fout=879.10 (A=023, B=137)
Fout=879.20 (A=024, B=137)
Fout=879.30 (A=025, B=137)
Fout=879.40 (A=026, B=137)
Fout=879.50 (A=027, B=137)
Fout=879.60 (A=028, B=137)
Fout=879.70 (A=029, B=137)
Fout=879.80 (A=030, B=137)
Fout=879.90 (A=031, B=137)
Fout=880.00 (A=032, B=137)
Fout=880.10 (A=033, B=137)
Fout=880.20 (A=034, B=137)
Fout=880.30 (A=035, B=137)
Fout=880.40 (A=036, B=137)
Fout=880.50 (A=037, B=137)
Fout=880.60 (A=038, B=137)
Fout=880.70 (A=039, B=137)
Fout=880.80 (A=040, B=137)
Fout=880.90 (A=041, B=137)
Fout=881.00 (A=042, B=137)
Fout=881.10 (A=043, B=137)
Fout=881.20 (A=044, B=137)
Fout=881.30 (A=045, B=137)
Fout=881.40 (A=046, B=137)
Fout=881.50 (A=047, B=137)
Fout=881.60 (A=048, B=137)
Fout=881.70 (A=049, B=137)
Fout=881.80 (A=050, B=137)
Fout=881.90 (A=051, B=137)
Fout=882.00 (A=052, B=137)
Fout=882.10 (A=053, B=137)
Fout=882.20 (A=054, B=137)
Fout=882.30 (A=055, B=137)
Fout=882.40 (A=056, B=137)
Fout=882.50 (A=057, B=137)
Fout=882.60 (A=058, B=137)
Fout=882.70 (A=059, B=137)
Fout=882.80 (A=060, B=137)
Fout=882.90 (A=061, B=137)
Fout=883.00 (A=062, B=137)
Fout=883.20 (A=000, B=138)
Fout=883.30 (A=001, B=138)
Fout=883.40 (A=002, B=138)
Fout=883.50 (A=003, B=138)
Fout=883.60 (A=004, B=138)
Fout=883.70 (A=005, B=138)
Fout=883.80 (A=006, B=138)
Fout=883.90 (A=007, B=138)
Fout=884.00 (A=008, B=138)
Fout=884.10 (A=009, B=138)
Fout=884.20 (A=010, B=138)
Fout=884.30 (A=011, B=138)
Fout=884.40 (A=012, B=138)
Fout=884.50 (A=013, B=138)
Fout=884.60 (A=014, B=138)
Fout=884.70 (A=015, B=138)
Fout=884.80 (A=016, B=138)
Fout=884.90 (A=017, B=138)
Fout=885.00 (A=018, B=138)
Fout=885.10 (A=019, B=138)
Fout=885.20 (A=020, B=138)
Fout=885.30 (A=021, B=138)
Fout=885.40 (A=022, B=138)
Fout=885.50 (A=023, B=138)
Fout=885.60 (A=024, B=138)
Fout=885.70 (A=025, B=138)
Fout=885.80 (A=026, B=138)
